"","MET","TIME","SAMPLE","QT"
"840","glucose",72,3,0.569
"841","lysine",0.5,1,1.33
"842","lysine",0.5,2,1.31
"843","lysine",0.5,3,1.31
"844","lysine",1,1,1.32
"845","lysine",1,2,2.3
"846","lysine",1,3,2.29
"847","lysine",2,1,1.85
"848","lysine",2,2,1.84
"849","lysine",2,3,1.86
"850","lysine",4,1,1.39
"851","lysine",4,2,1.27
"852","lysine",4,3,1.42
"853","lysine",12,1,0.753
"854","lysine",12,2,0.665
"855","lysine",12,3,0.649
"856","lysine",24,1,0.26
"857","lysine",24,2,0.324
"858","lysine",24,3,0.349
"859","lysine",48,1,0.958
"860","lysine",48,2,0.934
"861","lysine",48,3,0.981
"862","lysine",72,1,0.25
"863","lysine",72,2,0.248
"864","lysine",72,3,0.24
"865","tyrosine",0.5,1,1.81
"866","tyrosine",0.5,2,1.81
"867","tyrosine",0.5,3,1.79
"868","tyrosine",1,1,3.72
"869","tyrosine",1,2,4.08
"870","tyrosine",1,3,3.16
"871","tyrosine",2,1,4.04
"872","tyrosine",2,2,3.53
"873","tyrosine",2,3,3.83
"874","tyrosine",4,1,1.29
"875","tyrosine",4,2,0.947
"876","tyrosine",4,3,1.5
"877","tyrosine",12,1,0.69
"878","tyrosine",12,2,0.787
"879","tyrosine",12,3,0.773
"880","tyrosine",24,1,0.232
"881","tyrosine",24,2,0.261
"882","tyrosine",24,3,0.292
"883","tyrosine",48,1,0.247
"884","tyrosine",48,2,1.04
"885","tyrosine",48,3,0.541
"886","tyrosine",72,1,0.159
"887","tyrosine",72,2,0.121
"888","tyrosine",72,3,0.137
"889","gluconate",0.5,1,0.957
"890","gluconate",0.5,2,0.936
"891","gluconate",0.5,3,0.966
"892","gluconate",1,1,1.01
"893","gluconate",1,2,1.01
"894","gluconate",1,3,1.16
"895","gluconate",2,1,1
"896","gluconate",2,2,1
"897","gluconate",2,3,0.972
"898","gluconate",4,1,0.926
"899","gluconate",4,2,0.852
"900","gluconate",4,3,0.912
"901","gluconate",12,1,0.712
"902","gluconate",12,2,0.731
"903","gluconate",12,3,0.745
"904","gluconate",24,1,0.36
"905","gluconate",24,2,0.355
"906","gluconate",24,3,0.381
"907","gluconate",48,1,0.531
"908","gluconate",48,2,0.492
"909","gluconate",48,3,0.526
"910","gluconate",72,1,0.465
"911","gluconate",72,2,0.485
"912","gluconate",72,3,0.474
"913","galactonate",0.5,1,1.07
"914","galactonate",0.5,2,1.04
"915","galactonate",0.5,3,1.06
"916","galactonate",1,1,0.866
"917","galactonate",1,2,1
"918","galactonate",1,3,0.95
"919","galactonate",2,1,0.95
"920","galactonate",2,2,0.95
"921","galactonate",2,3,0.95
"922","galactonate",4,1,0.906
"923","galactonate",4,2,0.922
"924","galactonate",4,3,0.894
"925","galactonate",12,1,0.779
"926","galactonate",12,2,0.758
"927","galactonate",12,3,0.843
"928","galactonate",24,1,0.586
"929","galactonate",24,2,0.59
"930","galactonate",24,3,0.524
"931","galactonate",48,1,0.673
"932","galactonate",48,2,0.739
"933","galactonate",48,3,0.759
"934","galactonate",72,1,0.675
"935","galactonate",72,2,0.795
"936","galactonate",72,3,0.706
"937","inositol",0.5,1,1.03
"938","inositol",0.5,2,1.03
"939","inositol",0.5,3,1.03
"940","inositol",1,1,0.787
"941","inositol",1,2,0.826
"942","inositol",1,3,1.17
"943","inositol",2,1,0.835
"944","inositol",2,2,0.84
"945","inositol",2,3,0.838
"946","inositol",4,1,0.945
"947","inositol",4,2,0.908
"948","inositol",4,3,0.874
"949","inositol",12,1,0.985
"950","inositol",12,2,1.01
"951","inositol",12,3,1
"952","inositol",24,1,2.54
"953","inositol",24,2,2.4
"954","inositol",24,3,2.19
"955","inositol",48,1,1.6
"956","inositol",48,2,1.65
"957","inositol",48,3,1.61
"958","inositol",72,1,1.63
"959","inositol",72,2,1.63
"960","inositol",72,3,1.59
"961","uric acid",0.5,1,0.757
"962","uric acid",0.5,2,0.744
"963","uric acid",0.5,3,0.766
"964","uric acid",1,1,1.82
"965","uric acid",1,2,2.18
"966","uric acid",1,3,0.783
"967","uric acid",2,1,2.63
"968","uric acid",2,2,2.48
"969","uric acid",2,3,2.66
"970","uric acid",4,1,1.13
"971","uric acid",4,2,0.984
"972","uric acid",4,3,0.819
"973","uric acid",12,1,0.636
"974","uric acid",12,2,0.569
"975","uric acid",12,3,0.63
"976","uric acid",24,1,0.922
"977","uric acid",24,2,0.689
"978","uric acid",24,3,0.814
"979","uric acid",48,1,1.88
"980","uric acid",48,2,2.01
"981","uric acid",48,3,1.92
"982","uric acid",72,1,1.42
"983","uric acid",72,2,1.44
"984","uric acid",72,3,1.51
"985","sucrose",0.5,1,0.854
"986","sucrose",0.5,2,0.86
"987","sucrose",0.5,3,0.873
"988","sucrose",1,1,1.13
"989","sucrose",1,2,1.19
"990","sucrose",1,3,1.07
"991","sucrose",2,1,1.54
"992","sucrose",2,2,1.5
"993","sucrose",2,3,1.52
"994","sucrose",4,1,1.07
"995","sucrose",4,2,0.843
"996","sucrose",4,3,0.966
"997","sucrose",12,1,1.25
"998","sucrose",12,2,1.24
"999","sucrose",12,3,1.11
"1000","sucrose",24,1,0.513
"1001","sucrose",24,2,0.449
"1002","sucrose",24,3,0.504
"1003","sucrose",48,1,2.13
"1004","sucrose",48,2,2.03
"1005","sucrose",48,3,2.53
"1006","sucrose",72,1,9.93
"1007","sucrose",72,2,10
"1008","sucrose",72,3,9.94
"1009","trehalose",0.5,1,1.09
"1010","trehalose",0.5,2,1.11
"1011","trehalose",0.5,3,1.14
"1012","trehalose",1,1,1.07
"1013","trehalose",1,2,1.04
"1014","trehalose",1,3,1.13
"1015","trehalose",2,1,0.857
"1016","trehalose",2,2,0.887
"1017","trehalose",2,3,0.857
"1018","trehalose",4,1,0.68
"1019","trehalose",4,2,0.6
"1020","trehalose",4,3,0.686
"1021","trehalose",12,1,0.849
"1022","trehalose",12,2,0.83
"1023","trehalose",12,3,0.954
"1024","trehalose",24,1,0.695
"1025","trehalose",24,2,0.756
"1026","trehalose",24,3,0.77
"1027","trehalose",48,1,0.814
"1028","trehalose",48,2,0.768
"1029","trehalose",48,3,0.924
"1030","trehalose",72,1,1.4
"1031","trehalose",72,2,1.42
"1032","trehalose",72,3,1.44
